created_at,text,screen_name,source,location,followers_count,friends_count,retweet_count,language,sentiment_polarity
Tue May 01 02:32:36 +0000 2018, bRT @UserExperienceU: Website #help and #support systems should #avoid #FAQ #Futurist #IoT #BlockChain #Agile #DevOps  https://t.co/1TGxsQZj, jbxcbwta2015, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,0,0, vi, Neutral
Tue May 01 02:32:37 +0000 2018, bRT @AmandaLorenzani: interesting predictions here about the potential of @eidoo_io https://t.co/pqUY2sJAU2 #edo #coinbase #wallet #crypto #, gema8602ww, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,1,0,0, fr, Positive
Tue May 01 02:32:38 +0000 2018, bRT @evankirstel: 50 years of #fintech! From mainframes to #MachineLearning and micro-processes to #PredictiveAnalytics\\n\\n#blockchain #BigDat, europe_ac, <a href=http://semanticearth.com/ rel=nofollow>Infomation Service Provider51</a>, Global,875,83,0, en, Neutral
Tue May 01 02:32:39 +0000 2018, bRT @justinsuntron: Excited to have https://t.co/FyhmMfKF7r onboard! Game faces on! #TRONSR #TRON $TRX  #TRX #GTC $GTC https://t.co/BAUUsdeS, ibevxckz0078cj, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,0,0, uk, Negative
Tue May 01 02:32:40 +0000 2018, bRT @CoinFM: UNICEF Wants to Use Your CPU to Mine Monero to Raise Funds for Children #cryptocurrency #blockchain #ICO     https://t.co/6VcMu, lashaunwolske4, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,21,0, en, Positive
Tue May 01 02:32:40 +0000 2018, bRT @investaco_uk: Join our presale whitelist for exclusive access to INV discounts and updates! https://t.co/i2QdNWOint\\n\\n#investa #bitcoin, strutplenty, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,528,789,0, ru, Neutral
Tue May 01 02:32:42 +0000 2018, bRT @GiftcoinCrypto: A British charity with stewardship over national monuments might shift its donor collections onto a blockchain-based pl, ybubadaqaw, <a href=https://twitter.com rel=nofollow>mytestingpros</a>, ������������,7422,3771,0, ru, Neutral
Tue May 01 02:32:44 +0000 2018, bRT @investaco_uk: Join our presale whitelist for exclusive access to INV discounts and updates! https://t.co/i2QdNWOint\\n\\n#investa #bitcoin, insanecanon, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,560,813,0, ru, Neutral
Tue May 01 02:32:44 +0000 2018, bRT @murthaburke: Get Healthy With Some Coconut Based Oils! \\nhttps://t.co/Aov8NdtxYS \\n#blockchain #cryptocurrency #crypto #ethereum #trapadr, mernarodgers18, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,49,0, en, Positive
Tue May 01 02:32:45 +0000 2018, bRT @TheElementGrp: An unbiased comparison of #blockchain platforms (Image credit: JamieD1 &amp; sonikitz) https://t.co/3JdSiGpI2y, cryptoventuss, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,12,70,0, tr, Neutral
Tue May 01 02:32:45 +0000 2018, bExperience project get your profit momentum that you never forget #EQUI #ICO #TokenSale #Crypto https://t.co/XVLJDsFuml, Taufiq12957276, <a href=http://twitter.com/download/android rel=nofollow>Twitter for Android</a>, ,8766,9230,0, id, Neutral
Tue May 01 02:32:46 +0000 2018, bRT @CoinFM: Dubai Police Arrest Suspects Behind $1.9 Million Bitcoin Heist #cryptocurrency #blockchain #ICO     https://t.co/6VcMuIHubT htt, rubalcaba2035, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,1,0,0, es, Negative
Tue May 01 02:32:49 +0000 2018, bRT @GrazPlatform: Blockchain Betting Platform\\nhttps://t.co/VWwCmBEGY0\\nInfo@graz-ico.com\\nhttps://t.co/XGOQTvRxca\\nhttps://t.co/0sLOO3ZnWQ\\nhtt, vaultrecite, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,582,866,0, ru, Neutral
Tue May 01 02:32:51 +0000 2018, bRT @swissrealcoin: What a week! It was great having the Chinese delegation of blockchain and crypto assets officials. A highlight for #Swis, manescu1981, <a href=http://twitter.com/download/android rel=nofollow>Twitter for Android</a>, ,4430,5000,0, ro, Positive
Tue May 01 02:32:51 +0000 2018, bRT @sharpay_io: Dar friends! There are thoughts of our CEO Anton Solodikov about the blockchain technology and its role in https://t.co/B3T, zestystudents, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,524,895,0, ru, Neutral
Tue May 01 02:32:52 +0000 2018, bRT @UserExperienceU: Website #help and #support systems should #avoid #FAQ #Futurist #IoT #BlockChain #Agile #DevOps  https://t.co/1TGxsQZj, shih1335, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,0,21,0, fr, Neutral
Tue May 01 02:32:53 +0000 2018, bRT @Airdrop_Alarm: Swachhcoin Airdrop || 123 $SCX worth $5\\n\\nBlockchain integrated with coming of age technologies like IoT &amp; adaptive intel, padsbuilder, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ������������,546,734,0, ru, Positive
Tue May 01 02:32:53 +0000 2018, bRT @Egretia_io: Trading Platform Architecture: The Egretia virtual goods trading platform can help players ensure the value of virtual good, herisbalgis, <a href=http://twitter.com/download/android rel=nofollow>Twitter for Android</a>, BLINK,2777,3594,0, id, Positive
Tue May 01 02:32:53 +0000 2018, bRT @Playkey_EN: Decentralized Cloud Gaming is the Next Big Thing. $PKT provides an opportunity to become a part of this future and make a, nhanphan1102, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,232,2630,0, vi, Neutral
Tue May 01 02:32:54 +0000 2018, bRT @DiroLabs: How do we secure our identity in a digital world? BlockChain Technology.\\n\\nhttps://t.co/fXsT7DI3hu\\n\\n#Diro #Blockchain #Crypto, Munxgauzen, <a href=http://twitter.com rel=nofollow>Twitter Web Client</a>, ,2272,1796,0, ru, Positive
Tue May 01 02:32:54 +0000 2018, bRT @icomediagroup: Blockchain Brings Trust Into the Recruitment Equation - ICO Media Group\\n\\nhttps://t.co/wWUrMPZowZ https://t.co/rIZIlObeIF, 29verzosaAngie, <a href=http://twitter.com/download/iphone rel=nofollow>Twitter for iPhone</a>, ,16,996,0, en, Neutral
Tue May 01 02:32:54 +0000 2018, bRT @icomediagroup: Blockchain Brings Trust Into the Recruitment Equation - ICO Media Group\\n\\nhttps://t.co/wWUrMPZowZ https://t.co/rIZIlObeIF, lebruno_23, <a href=http://twitter.com/download/iphone rel=nofollow>Twitter for iPhone</a>, ,0,1,0, en, Neutral
